app_id,app_name,rank,country_code,date
com.chucklefish.stardewvalley,StardewValley,1,AU,2019-03-16
com.OtherTales.TickTock,TickTock:ATaleforTwo,2,AU,2019-03-16
com.iwg.soccerStarClicker,SoccerStarClicker,3,AU,2019-03-16
com.piratesoutlaws.fabledgame,PiratesOutlaws,4,AU,2019-03-16
com.iwg.blossomlove,GrowBlossom,5,AU,2019-03-16
com.atari.mobile.rctclassic,RollerCoasterTycoon®Classic,6,AU,2019-03-16
com.symist.helixworl,HelixWorl,7,AU,2019-03-16
synthesis.game.plasmaduct,Plasmaduct-PremiumGame,8,AU,2019-03-16
wonderland.beauty,Wonderland:Beauty&Beast,9,AU,2019-03-16
com.GameStache.AdventureGoat,AdventureGoat,10,AU,2019-03-16
com.FantasticYes.returner02,ReturnerZhero-FinalCut,11,AU,2019-03-16
com.eightfloor.lostartifactssoulstone.premium.googleplay,LostArtifacts:Soulstone,12,AU,2019-03-16
com.MarsusProject,Marsus:SurvivalonMars,13,AU,2019-03-16
kemco.execreate.dimensioncross,RPGディメンションクロス,14,AU,2019-03-16
com.appnormals.stay,ステイ,15,AU,2019-03-16
com.KomikerMedia.Thiefer2,Thiefer2,16,AU,2019-03-16
com.LostDutchmanSoftware.NiceBowling,NiceBowling,17,AU,2019-03-16
com.eightfloor.cookingtrip.premium.googleplay,CookingTrip,18,AU,2019-03-16
com.fivebn.ll6.full,ロスト・ランド6(Full),19,AU,2019-03-16
com.eightfloor.lostartifactstm.premium.googleplay,LostArtifacts:TimeMachine,20,AU,2019-03-16
com.PixelFade.Crystalline,Crystalline,21,AU,2019-03-16
com.eightfloor.lostartifactsgoldenisland.premium.googleplay,LostArtifacts:GoldenIsland,22,AU,2019-03-16
air.com.littlebigplay.games.premium.riddles,EnglishRiddlesGuessingGamePRO,23,AU,2019-03-16
com.lecrew.butterflies_e1,ButterfliesEpisode1:Rudies,24,AU,2019-03-16
com.artstorm.flowvip,FlowDeluxeVIP,25,AU,2019-03-16
com.NoumenonGames.SnakeBird_Touch_Primer,SnakebirdPrimer,26,AU,2019-03-16
game.LRTH.RustBuilder,RustBuilder,27,AU,2019-03-16
com.dustyroom.supersum,Powernode,28,AU,2019-03-16
com.matchgems.fantasy_mosaics_33,FantasyMosaics33:Inventor'sWorkshop,29,AU,2019-03-16
com.crablue.heroevovip,HeroEvolution:VIP,30,AU,2019-03-16
com.caerux.yumenikkien,YumeNikki,31,AU,2019-03-16
air.com.flipline.papaswingeriatogo,Papa'sWingeriaToGo!,32,AU,2019-03-16
com.digidiced.bvbrelease,TheCastlesOfBurgundy,33,AU,2019-03-16
com.Drool.ThumperPocketEdition,Thumper:PocketEdition,34,AU,2019-03-16
com.CharlotteMadelon.RosasGardenApp,Rosa'sGarden,35,AU,2019-03-16
com.nsmy.mymed,NinjaSagaMobile,36,AU,2019-03-16
